Easting,Northing,n
541725.0009,296624.9999,4
541975.0009,256274.9999,4
542025.0009,256924.9999,4
542075.0009,278174.9999,4
542175.0009,261374.9999,4
542425.0009,305724.9999,4
543725.0009,259824.9999,4
543825.0009,267774.9999,4
543975.0009,309224.9999,4
544025.0009,259074.9999,4
544125.0009,303224.9999,4
544225.0009,253924.9999,4
544475.0009,261424.9999,4
545075.0009,256374.9999,4
545075.0009,256424.9999,4
545075.0009,259974.9999,4
545225.0009,258274.9999,4
545225.0009,312174.9999,4
545275.0009,257674.9999,4
545325.0009,259474.9999,4
545375.0009,257974.9999,4
545375.0009,259524.9999,4
545375.0009,308424.9999,4
545425.0009,260774.9999,4
545525.0009,257874.9999,4
545725.0009,257424.9999,4
545725.0009,259974.9999,4
545775.0009,258224.9999,4
545975.0009,257274.9999,4
546075.0009,256724.9999,4
546075.0009,258624.9999,4
546125.0009,309924.9999,4
546225.0009,309874.9999,4
546275.0009,256274.9999,4
546275.0009,256324.9999,4
546425.0009,257774.9999,4
546425.0009,279124.9999,4
546425.0009,309274.9999,4
546525.0009,246624.9999,4
546575.0009,246724.9999,4
546575.0009,257674.9999,4
546625.0009,260974.9999,4
546675.0009,257674.9999,4
546775.0009,255274.9999,4
546775.0009,259174.9999,4
546825.0009,257124.9999,4
547025.0009,257624.9999,4
547025.0009,258524.9999,4
547175.0009,258324.9999,4
547275.0009,259424.9999,4
547325.0009,258174.9999,4
547425.0009,259374.9999,4
547475.0009,257524.9999,4
547525.0009,258024.9999,4
547625.0009,257974.9999,4
547675.0009,257974.9999,4
547875.0009,263374.9999,4
547925.0009,258474.9999,4
548625.0009,256324.9999,4
548675.0009,256424.9999,4
549225.0009,259224.9999,4
549625.0009,270074.9999,4
549925.0009,259274.9999,4
551475.0009,259624.9999,4
551575.0009,275674.9999,4
552175.0009,250274.9999,4
552325.0009,250274.9999,4
553825.0009,280324.9999,4
554225.0009,279724.9999,4
554325.0009,282974.9999,4
557175.0009,276474.9999,4
557675.0009,286424.9999,4
561125.0009,271674.9999,4
503575.0009,304674.9999,3
505725.0009,302824.9999,3
507475.0009,299924.9999,3
507525.0009,299724.9999,3
507625.0009,299774.9999,3
508975.0009,299574.9999,3
511075.0009,297074.9999,3
512475.0009,288374.9999,3
513875.0009,294024.9999,3
514475.0009,296224.9999,3
514575.0009,296274.9999,3
514625.0009,272274.9999,3
514875.0009,295474.9999,3
514925.0009,295424.9999,3
515125.0009,295224.9999,3
515475.0009,305174.9999,3
515675.0009,298424.9999,3
515775.0009,299124.9999,3
515925.0009,298774.9999,3
515975.0009,299224.9999,3
516275.0009,300274.9999,3
516325.0009,295474.9999,3
516375.0009,297574.9999,3
516475.0009,300274.9999,3
516525.0009,300224.9999,3
516575.0009,300574.9999,3
516625.0009,298974.9999,3
516625.0009,300274.9999,3
516675.0009,294774.9999,3
516725.0009,296774.9999,3
516925.0009,258674.9999,3
516925.0009,300124.9999,3
516975.0009,302574.9999,3
517125.0009,302224.9999,3
517225.0009,301274.9999,3
517325.0009,299924.9999,3
517375.0009,304224.9999,3
517475.0009,267224.9999,3
517475.0009,292274.9999,3
517475.0009,295524.9999,3
517475.0009,298624.9999,3
517475.0009,304224.9999,3
517525.0009,298624.9999,3
517525.0009,300624.9999,3
517525.0009,300674.9999,3
517525.0009,301824.9999,3
517575.0009,296374.9999,3
517575.0009,301774.9999,3
517625.0009,295574.9999,3
517625.0009,299724.9999,3
517675.0009,295624.9999,3
517675.0009,295674.9999,3
517675.0009,301624.9999,3
517725.0009,261924.9999,3
517725.0009,295774.9999,3
517725.0009,295824.9999,3
517775.0009,295574.9999,3
517825.0009,301424.9999,3
517825.0009,301524.9999,3
517875.0009,296424.9999,3
518025.0009,299774.9999,3
518025.0009,301574.9999,3
518075.0009,295274.9999,3
518175.0009,295724.9999,3
518175.0009,300624.9999,3
518175.0009,300974.9999,3
518225.0009,300624.9999,3
518325.0009,260274.9999,3
518325.0009,295124.9999,3
518375.0009,262274.9999,3
518375.0009,295024.9999,3
518375.0009,300324.9999,3
518425.0009,294924.9999,3
518425.0009,300074.9999,3
518475.0009,260124.9999,3
518475.0009,263124.9999,3
518575.0009,296824.9999,3
518625.0009,303074.9999,3
518675.0009,278074.9999,3
518675.0009,299574.9999,3
518725.0009,299874.9999,3
518725.0009,303224.9999,3
518775.0009,299074.9999,3
518775.0009,302324.9999,3
518825.0009,296724.9999,3
518825.0009,299574.9999,3
518825.0009,301874.9999,3
518875.0009,258224.9999,3
518875.0009,299124.9999,3
518875.0009,300324.9999,3
518875.0009,301924.9999,3
518875.0009,302424.9999,3
518925.0009,259274.9999,3
518925.0009,297874.9999,3
518925.0009,298674.9999,3
518925.0009,298974.9999,3
518975.0009,297874.9999,3
518975.0009,298974.9999,3
518975.0009,301274.9999,3
519075.0009,260324.9999,3
519075.0009,299124.9999,3
519075.0009,299624.9999,3
519075.0009,299674.9999,3
519075.0009,299724.9999,3
519125.0009,261524.9999,3
519125.0009,295924.9999,3
519125.0009,298374.9999,3
519125.0009,299324.9999,3
519125.0009,299574.9999,3
519175.0009,297574.9999,3
519175.0009,301224.9999,3
519175.0009,301274.9999,3
519225.0009,271974.9999,3
519225.0009,297774.9999,3
519275.0009,298224.9999,3
519325.0009,271974.9999,3
519325.0009,299474.9999,3
519375.0009,297274.9999,3
519375.0009,299224.9999,3
519425.0009,271924.9999,3
519425.0009,300174.9999,3
519425.0009,301174.9999,3
519575.0009,297174.9999,3
519625.0009,299174.9999,3
519625.0009,299224.9999,3
519625.0009,299774.9999,3
519675.0009,297174.9999,3
519725.0009,295424.9999,3
519725.0009,299274.9999,3
519775.0009,299124.9999,3
519825.0009,297024.9999,3
519825.0009,299524.9999,3
519875.0009,299624.9999,3
519875.0009,300824.9999,3
519975.0009,297074.9999,3
519975.0009,297124.9999,3
520025.0009,300774.9999,3
520075.0009,298874.9999,3
520075.0009,298974.9999,3
520175.0009,298574.9999,3
520175.0009,299324.9999,3
520175.0009,299924.9999,3
520225.0009,296724.9999,3
520275.0009,300124.9999,3
520325.0009,271524.9999,3
520375.0009,298874.9999,3
520375.0009,300324.9999,3
520425.0009,299024.9999,3
520425.0009,302374.9999,3
520525.0009,302374.9999,3
520625.0009,299074.9999,3
520725.0009,299424.9999,3
520825.0009,296624.9999,3
520925.0009,298774.9999,3
521075.0009,299224.9999,3
521075.0009,300424.9999,3
521275.0009,301574.9999,3
521375.0009,301624.9999,3
521625.0009,301024.9999,3
521725.0009,300974.9999,3
521775.0009,302624.9999,3
