Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
2715,20150108,2015,1,8,Thursday,755,Slight,A,1134,'T'/staggered junctn,Day,Fine (no wind),Wet/damp,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,A1307 HUNTINGDON RD 10M EAST OF CASTLE ST OUTSIDE NO 1,2,Car,Changing lane to left,NW,SE,Approaching jnctn or waiting/parked,Did not skid,Motorcycle >50 <= 12,Going ahead,NW,SE,Approaching jnctn or waiting/parked,Overturned,,,,,,,544284.0262,259421.4007
2716,20160108,2016,1,8,Friday,1714,Slight,A,14,'T'/staggered junctn,Dark,Fine (no wind),Wet/damp,70,N,N,N,N,N,N,N,Y,N,N,0,,0,,,,,A14 EASTBOUND WOOLLEY JUNCTION,4,Car,Going ahead,N,E,Entering from slip road,Did not skid,Van/GV <=3.5t mgw,Slow or stopping,W,E,Approaching jnctn or waiting/parked,Did not skid,Car,Going ahead,W,E,Approaching jnctn or waiting/parked,Did not skid,514633.1375,272290.6569
2813,20130102,2013,1,2,Wednesday,1530,Slight,C,51,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,EASTFIELD RD 15M SOUTH OF MONUMENT ST PETERBOROUGH,2,Car,Moving off,S,N,Approaching jnctn or waiting/parked,Did not skid,Car,Going ahead,S,N,Approaching jnctn or waiting/parked,Did not skid,,,,,,,519726.2024,299302.1149
2814,20140110,2014,1,10,Friday,1710,Slight,A,47,Slip road,Dark,Fine (no wind),Dry,70,N,N,Y,N,N,N,N,Y,N,N,0,,0,,,,,A47 SOKE PARKWAY EBC JUNCTION 15 ON SLIP PETERBOROUGH,2,Van/GV <=3.5t mgw,Going ahead,SW,NE,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,SW,NE,Approaching jnctn or waiting/parked,Did not skid,,,,,,,515932.6498,298772.8964
2815,20150108,2015,1,8,Thursday,1630,Slight,A,15,Not at junction,Day,Fine (no wind),Wet/damp,40,N,Y,N,N,N,Y,N,N,N,N,0,,0,,,,,LONDON RD 500M N OF EAGLE WAY  PETERBOROUGH,1,Motorcycle >125 <=50,Going ahead,S,N,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,518071.1466,294180.541
2816,20160108,2016,1,8,Friday,1308,Slight,U,0,Not at junction,Day,Fine (no wind),Dry,30,N,N,N,N,Y,N,N,N,N,N,2,Male,81,Slight, In c/w and crossing road,Crossing from driver's nearside,Towards W,NEW ST 50M N OF HIGH ST ST NEOTS,1,Car,Going ahead,N,S,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,518304.96,260315.3348
2912,20121221,2012,12,21,Friday,15,Serious,U,0,'T'/staggered junctn,Dark,Fine (no wind),Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,PARK RD JUNCTION PRINCES ST PETERBOROUGH,2,Car,Moving off,NW,SE,Entering main road,Did not skid,Pedal cycle,Going ahead,S,N,Mid jnctn - on rbout or main road,Did not skid,,,,,,,519514.8238,299836.222
2914,20140110,2014,1,10,Friday,1440,Slight,C,47,'T'/staggered junctn,Day,Unknown,Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,C56 FULBRIDGE RD JW MOUNTSTEVEN AV,2,Car,Ovrtking moving veh on offsde,SE,N,Cleared jnctn or waiting/parked at,Did not skid,Pedal cycle,Going ahead,SE,N,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,517678.9868,302678.1685
2915,20150109,2015,1,9,Friday,1227,Slight,U,0,Private drive/entry,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,HERSCHEL RD ROBINSON COLLEGE CAMBRIDGE,2,Car,Turning right,N,W,Cleared jnctn or waiting/parked at,Did not skid,Car,Going ahead,W,E,Approaching jnctn or waiting/parked,Did not skid,,,,,,,543914.3177,258319.3461
2916,20160108,2016,1,8,Friday,1845,Slight,B,1102,'T'/staggered junctn,Dark,Fine (no wind),Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,B1102 LONG MEADOW OS WHITE DROVE WAY SWAFFHAM BULBECK,1,Car,Going ahead left hand bend,SE,SW,Mid jnctn - on rbout or main road,Did not skid,,,,,,,,,,,,,555084.339,262856.5673
3014,20140111,2014,1,11,Saturday,1910,Serious,A,428,'T'/staggered junctn,Dark,Fine (no wind),Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A428 JUNCTION B1040 ELTISLEY,2,Car,U-turning,E,E,Entering main road,Did not skid,Taxi/private hire ca,Going ahead,E,W,Approaching jnctn or waiting/parked,Did not skid,,,,,,,526659.3507,259807.1702
